title,rate,num,info,director,actor,time,country,type
超能陆战队,8.7,1001153人,Balalala~~~,唐·霍尔DonHall,斯科特,2014,美国,喜剧
爱在日落黄昏时,8.9,553924人,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,理查德·林克莱特RichardLinklater,伊桑·霍克EthanHawke,2004,美国,剧情
菊次郎的夏天,8.9,590159人,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,北野武TakeshiKitano,北野武TakeshiKitano,1999,日本,剧情
甜蜜蜜,8.9,545393人,相逢只要一瞬间，等待却像是一辈子。,陈可辛PeterChan,黎明LeonLai,1996,中国香港,剧情
天使爱美丽,8.7,949986人,法式小清新。 ,让-皮埃尔·热内Jean-PierreJeunet,奥黛丽·塔图AudreyTau,2001,法国,剧情
阳光灿烂的日子,8.9,609178人,一场华丽的意淫。,姜文WenJiang,夏雨YuXia,1994,中国大陆,剧情
小森林 夏秋篇,9.0,422043人,那些静得只能听见呼吸的日子里，你明白孤独即生活。,森淳一JunichiMori,桥本爱AiHashimoto,2014,日本,剧情
借东西的小人阿莉埃蒂,8.9,547754人,曾经的那段美好会沉淀为一辈子的记忆。,米林宏昌HiromasaYonebayashi,志田未来MiraiShida,2010,日本,动画
完美的世界,9.1,311742人,坏人的好总是比好人的好来得更感人。,克林特·伊斯特伍德ClintEastwood,凯文·科斯特纳KevinCos,1993,美国,剧情
无人知晓,9.1,316040人,我的平常生活就是他人的幸福。,是枝裕和HirokazuKoreeda,柳乐优弥YûyaYagira,2004,日本,剧情
消失的爱人,8.7,924341人,年度最佳date movie。,大卫·芬奇DavidFincher,本·阿弗莱克BenAffleck,2014,美国,剧情
倩女幽魂,8.8,730640人,两张绝世的脸。 ,程小东Siu-TungChing,张国荣LeslieCheung,1987,中国香港,爱情
寄生虫,8.8,1356180人,电影详细信息不详,奉俊昊Joon-hoBong,宋康昊Kang-hoSong,2019,韩国,剧情
时空恋旅人,8.8,660848人,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,理查德·柯蒂斯RichardCurtis,多姆纳尔·格里森DomhnallGl,2013,英国,喜剧
侧耳倾听,8.9,458130人,少女情怀总是诗。,近藤喜文YoshifumiKondo,本名阳子YoukoHonna,1995,日本,剧情
小森林 冬春篇,9.0,376681人,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,森淳一JunichiMori,桥本爱AiHashimoto,2015,日本,剧情
幸福终点站,8.8,563794人,有时候幸福需要等一等。 ,史蒂文·斯皮尔伯格StevenSpielberg,汤姆·汉克斯TomHanks,2004,美国,喜剧
驯龙高手,8.8,748923人,和谐的生活离不开摸头与被摸头。,迪恩·德布洛斯DeanDeBlois,演职人员不详,2010,美国,动画
一个叫欧维的男人决定去死,8.9,475032人,惠及一生的美丽。,汉内斯·赫尔姆HannesHolm,罗夫·拉斯加德RolfLassgård,2015,瑞典,剧情
教父3,9.0,370047人,任何信念的力量，都无法改变命运。,弗朗西斯·福特·科波拉FrancisFordCoppola,阿尔·帕西诺A,1990,美国,剧情
